""	logFC	AveExpr	t	P.Value	adj.P.Val	B
OAS2	-222.351177777778	-16.1631666666667	-3.52972764172938	0.000943349593113541	0.107357869492902	-4.56215157837313
STAT1	-149.807911111111	276.162866666667	-3.28583296058875	0.00192810221860323	0.107357869492902	-4.56612673155197
OAS1	-230.240311111111	75.4029111111111	-3.07195121026816	0.00353315095302337	0.107357869492902	-4.56955232201295
IFIT3	-172.541244444444	-0.0290888888888885	-3.03795182736238	0.00388264636314416	0.107357869492902	-4.57009019142608
OAS3	-141.953555555556	-69.5485111111111	-2.89127547831599	0.005795098000712	0.107357869492902	-4.57238571745274
ISG15	-126.9406	-190.587855555556	-2.86474443973667	0.00622336150841304	0.107357869492902	-4.57279625428352
MX1	-147.028111111111	236.352033333333	-2.85237661622469	0.00643289251514226	0.107357869492902	-4.57298710711365
IFI6	-120.150755555556	-226.107222222222	-2.84991786921898	0.00647532052978805	0.107357869492902	-4.57302500866389
DDX58	-110.445088888889	91.4178555555556	-2.82601282452589	0.0069015773245437	0.107357869492902	-4.57339279726505
EIF2AK2	-93.2484666666667	194.3377	-2.78291942343041	0.00773633315751713	0.10830866420524	-4.57405248661563
NUP54	-95.1516888888889	279.575711111111	-2.72322444898992	0.00904744360353399	0.108475390378722	-4.57495895411817
IFIT1	-149.044266666667	112.122977777778	-2.71273825910882	0.00929789060389042	0.108475390378722	-4.57511727007519
IFI27	-232.483	142.398655555556	-2.56394501600463	0.0136098395664041	0.146567503022814	-4.57733206170979
IFIT2	-199.516666666667	-21.5285333333333	-2.50432071667921	0.0158000901851663	0.158000901851663	-4.57820187541965
ARIH1	-69.1338222222222	358.348644444444	-2.32097370259267	0.024680794137379	0.224971445332947	-4.58080591884468
USP18	-407.977888888889	-9.29434444444444	-2.30374293135136	0.0257110223237653	0.224971445332947	-4.58104478575687
HERC5	-91.7567333333333	127.236944444444	-2.19726504143731	0.0329711175641542	0.255259589338473	-4.58249684031228
IFITM1	-178.164866666667	-14.8359	-2.18696624517016	0.0337614347546402	0.255259589338473	-4.58263502478968
ADAR	-107.250377777778	154.205411111111	-2.17573435254126	0.0346423728387927	0.255259589338473	-4.58278526129887
GBP1	-80.9015777777777	208.271233333333	-2.06508261837039	0.0444612297478786	0.295359284056088	-4.58423848615334
OASL	-92.6749111111111	-228.907966666667	-2.0603607511125	0.044929479505358	0.295359284056088	-4.58429938679641
KPNA5	-56.0324444444445	154.884644444444	-2.04567249585498	0.0464136017802424	0.295359284056088	-4.58448823158039
TRIM25	-105.444022222222	-50.9153222222222	-1.93669078873538	0.0588141703738025	0.357999297927494	-4.58586039606367
ICAM1	-129.707577777778	101.1883	-1.84895579117912	0.0707659331464963	0.385778064128307	-4.58692639894245
